,ID,Non_combust_wt_%,Organics_wt_%,Paper_and_cardboard_wt_%,Plastics_wt_%,Total_weight_(kg),aluminium_cans,aluminium_recyclable,batteries,bottles_cds,bottles_wine_and_spirits,cardboard,ceramics,drinkbags,electrical_items_and_peripherals_(incl_tvs),energy_kWh_per_kg,eps,feminine_hygiene,flexibles_film,food,hdpe_bottles,jars,lpb,nappies,other,other_glass,other_metal,other_organics,other_plastic,other_sanitary_waste,paper,pet_bottles,plastic_bags,pp,steel_cans,textiles,total_energy_kWh
85,114_V,0.2246171626697486,0.7221034383126265,0.03935278821149957,0.013926610806125398,17.305000000000003,0.131,0.0,0.0,0.0,0.0,0.0,0.436,0.0,0.0,2.37,0.0,0.0,0.08199999999999999,0.0,0.0,1.64,0.0,12.495999999999999,0.077,0.0,0.9670000000000001,0.0,0.032,0.0,0.6809999999999999,0.127,0.0,0.0,0.636,0.0,41.01
86,115_V,0.19739320424922774,0.7469298576056658,0.004897159647404507,0.05077977849770211,13.273,0.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.46,0.0,0.0,0.067,0.0,0.0,0.0,0.049,9.91,0.0,0.0,0.0,0.004,0.009000000000000001,0.0,0.0,0.598,0.0,0.0,2.506,0.016,32.65
87,116_V,0.054119941491955134,0.7059970745977571,0.05802047781569965,0.181862506094588,2.051,0.0,0.009000000000000001,0.0,0.0,0.0,0.109,0.0,0.0,0.0,2.73,0.0,0.0,0.073,0.149,0.131,0.0,0.0,1.2990000000000002,0.0,0.0,0.0,0.0,0.105,0.0,0.01,0.019,0.045,0.0,0.102,0.0,5.6
88,117_V,0.4048419636852724,0.017933198834342075,0.3073301950235373,0.2698946424568482,4.461,0.01,0.0,0.0,0.0,0.0,0.40299999999999997,0.0,0.0,0.0,0.09,0.0,0.0,0.12300000000000001,0.0,0.16899999999999998,0.0,0.0,0.0,0.10099999999999999,0.0,0.135,0.08,0.38299999999999995,0.0,0.0,0.08,0.449,0.0,1.56,0.968,0.4
89,118_V,0.2475303188498916,0.7189783953096136,0.0,0.03349128584049474,12.451,0.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32,0.0,0.0,0.0,0.0,0.08,1.159,0.0,8.952,0.382,0.0,0.475,0.0,0.16,0.0,0.0,0.146,0.0,0.031,0.7979999999999999,0.0,28.89
90,119_V,0.1563467492260062,0.10046439628482973,0.2660990712074303,0.4770897832817338,6.460000000000001,0.0,0.0,0.0,0.0,0.0,0.5429999999999999,0.0,0.0,0.0,0.55,0.0,0.0,2.0069999999999997,0.28600000000000003,0.0,0.316,0.009000000000000001,0.0,0.306,0.0,0.0,0.363,0.865,0.0,0.775,0.198,0.012,0.0,0.38799999999999996,0.392,3.55
91,120_V,0.42943775448323657,0.3790175864160097,0.01056917612405787,0.1809754829766958,11.542999999999996,0.028999999999999998,0.0,0.0,0.0,0.0,0.0,1.122,0.0,0.065,1.41,0.0,0.0,0.91,0.155,0.0,0.262,0.0,4.22,0.8079999999999999,0.0,0.379,0.0,0.222,0.0,0.122,0.8759999999999999,0.081,0.0,2.292,0.0,16.28
92,121_V,0.37976210998103777,0.020168936390277538,0.3699362178934666,0.2301327357352181,5.801000000000001,0.017,0.047,0.0,0.0,0.0,0.051,0.0,0.0,0.057999999999999996,0.1,0.0,0.0,0.324,0.0,0.106,0.0,0.0,0.0,0.251,0.0,0.0,0.11699999999999999,0.113,0.0,0.618,0.6579999999999999,0.131,0.003,1.83,1.4769999999999999,0.58
93,122_V,0.7923831178058831,0.06437402302117379,0.0,0.14324285917294302,7.037000000000001,0.34600000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.637,0.23,0.0,0.0,0.024,0.0,0.0,0.7509999999999999,0.0,0.363,0.0,0.0,0.0,0.09,0.16399999999999998,0.0,0.0,0.8140000000000001,0.006,0.0,3.842,0.0,1.62
94,126_V,0.4744245524296675,0.31926683716965043,0.055413469735720366,0.15089514066496165,4.691999999999998,0.05,0.0,0.0,0.0,0.0,0.158,0.0,0.0,0.0,1.2,0.0,0.0,0.05,0.0,0.0,0.306,0.0,1.278,0.0,0.0,0.0,0.22,0.01,0.0,0.102,0.648,0.0,0.0,1.87,0.0,5.63
