ID,Date,Premisestype,Location,BusinessType,Other_notes,Locationlat,Locationlong,Whocollectstherubbish,Collectionperiod,Accumulationtimenum,Collectionrating,Wastedisposalgreen,Wastedisposalgeneral,Comments,Collected,NumberofEmployees,FloorSpace,FloorSpaceUnits,NumberofRooms
10,31/05/2019 00:00:00,pt_commercial,Belmopan,Admin,The assembly building,,,,,,,,,,0.12500000000000,,,,
63,14/06/2019 00:00:00,pt_commercial,Toledo Rural,Food_outlet,,16.25123,-88.89396,private,other,,3,other,disp_burn,There is no system in place,,1,60,sq_feet,1
65,14/06/2019 00:00:00,pt_commercial,Toledo Rural,Retail_shop,,16.151269,-88.873455,council,p_fortnight,14.00000000000000,5,other,disp_land_dump,Usually would initiate a clean up campaign within the community but the village council needs or can do much more. Needs more education about waste management with the younger generation,,3,1000,sq_feet,1
67,14/06/2019 00:00:00,pt_commercial,Toledo Rural,Retail_shop,,16.174465,-88.898485,private,p_2days,2.00000000000000,1,disp_land_dump,disp_burn,Mostly plastic and card board boxes are disposed in a spot but it doesn't agree with their system...would prefer their waste collected for environmental concerns,,3,10,sq_yard,2
69,14/06/2019 00:00:00,pt_commercial,Toledo Rural,Admin,,16.151269,-88.873455,private,p_1day,1.00000000000000,4,other,disp_burn,Intend to implement a recycling program,,10,5000,sq_feet,12
64,14/06/2019 00:00:00,pt_commercial,Toledo Rural,Admin,,16.269261,-88.880678,private,other,,5,other,disp_burn,,,7,1500,sq_feet,5
66,14/06/2019 00:00:00,pt_commercial,Toledo Rural,Food_outlet,,16.278081,-88.893328,private,other,,3,other,disp_burn,Need a better system that can collect waste,,2,120,sq_feet,1
68,14/06/2019 00:00:00,pt_commercial,Toledo Rural,Retail_shop,,16.151269,-88.873455,private,p_1day,1.00000000000000,3,other,disp_burn,Individual would prefer for the waste to be collected and dispose by a service provider,,2,480,sq_feet,2
62,14/06/2019 00:00:00,pt_commercial,Toledo Rural,Admin,,16.258153,-88.883703,private,other,,3,other,disp_burn,Would like the system organized so that waste is collected,,18,900,sq_feet,1
56,11/06/2019 00:00:00,pt_commercial,Corozal Town,Retail_shop,,18.39126,-88.400185,council,p_week,7.00000000000000,5,disp_collect,disp_collect,The person did not want us to take a picture of her house after we did the interview,0.75000000000000,2,25,sq_metre,2
58,11/06/2019 00:00:00,pt_commercial,Corozal Town,Food_outlet,,18.392398,-88.390544,council,p_3days,3.50000000000000,4,disp_collect,disp_collect,All Good!,1.00000000000000,3,40,sq_metre,1
60,11/06/2019 00:00:00,pt_commercial,Corozal Town,Retail_shop,,18.395315,-88.389883,council,p_week,7.00000000000000,2,disp_collect,disp_collect,Town council should have a more scheduled time to come pick up garbage,0.50000000000000,2,90,sq_metre,1
55,11/06/2019 00:00:00,pt_commercial,Corozal Town,Admin,,18.389292,-88.39832,council,p_week,7.00000000000000,4,disp_collect,disp_collect,They see no problem in waste collection,0.66666666700000,1,90,sq_metre,1
55,11/06/2019 00:00:00,pt_commercial,Corozal Town,Admin,,18.389292,-88.39832,council,p_week,7.00000000000000,4,disp_collect,disp_collect,They see no problem in waste collection,0.66666666700000,1,90,sq_metre,1
57,11/06/2019 00:00:00,pt_commercial,Corozal Town,Admin,,18.387698,-88.390581,council,p_week,7.00000000000000,4,disp_collect,other,None,1.00000000000000,1,150,sq_metre,3
59,11/06/2019 00:00:00,pt_commercial,Corozal Town,Retail_shop,,18.394824,-88.38947,council,p_3days,3.50000000000000,3,other,disp_collect,Provide better garbage collection service provided food is sold nearby,0.50000000000000,3,125,sq_metre,1
61,14/06/2019 00:00:00,pt_commercial,Toledo Rural,Admin,,16.151269,-88.873455,private,p_fortnight,14.00000000000000,3,disp_land_dump,other,,,6,1500,,3
