,ID,Organics_wt_%,Paper_and_cardboard_wt_%,Plastics_wt_%,Non_combust_wt_%,Total_weight_(kg),energy_kWh_per_kg,total_energy_kWh,cardboard,paper,eps,plastic_bags,flexibles_film,other_plastic,jars,food,textiles,other_organics,aluminium_cans,steel_cans,lpb,pp,pet_bottles,nappies,aluminium_recyclable,batteries,other
45,47,1.0,0.0,0.0,0.0,27.612,3.12,86.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,48,0.20948616600790512,0.0,0.17278373800112928,0.6177300959909655,7.0840000000000005,0.77,5.45,0.0,0.0,0.0,0.412,0.0,0.0,0.0,0.0,0.0,1.484,3.52,0.856,0.0,0.0,0.812,0.0,0.0,0.0,0.0
47,49,0.8199304750869062,0.021089223638470454,0.11842410196987255,0.04055619930475087,17.26,2.91,50.23,0.264,0.0,0.0,0.0,1.508,0.0,0.0,0.0,0.1,14.152,0.64,0.06,0.0,0.0,0.536,0.0,0.0,0.0,0.0
48,50,0.9904439337123503,0.0016934801016088058,0.0006048143220031449,0.0072577718640377395,16.534000000000002,3.1,51.26,0.028,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,16.376,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,51,0.5505617977528089,0.0,0.10349563046192257,0.3459425717852684,16.02,1.89,30.28,0.0,0.0,0.0,0.47,0.372,0.0,0.0,0.0,0.0,8.82,3.942,1.264,0.0,0.0,0.816,0.0,0.0,0.0,0.336
50,52,0.09464428457234213,0.0,0.27162270183852916,0.6337330135891287,12.51,0.38,4.75,0.0,0.0,0.018,0.77,1.208,0.0,0.3,0.0,0.0,1.184,4.972,2.656,0.0,0.0,1.402,0.0,0.0,0.0,0.0
51,53,0.09458443023693118,0.0007521624670928922,0.6810831139526139,0.22358029334336216,10.636000000000001,0.5,5.32,0.008,0.0,0.0,5.256,0.0,0.928,0.0,1.006,0.0,0.0,1.456,0.832,0.0,0.0,1.06,0.0,0.0,0.0,0.09
52,54,0.0,0.14852443154329945,0.43057571359458147,0.42089985486211895,8.268,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,1.228,0.0,2.572,0.908,0.0,0.0,3.14,0.0,0.0,0.0,0.0
53,55,0.2699448068238836,0.0,0.22353236327145007,0.5065228299046663,7.9719999999999995,1.03,8.21,0.0,0.0,0.0,0.624,0.48,0.098,0.0,0.396,0.0,1.756,0.69,0.86,0.0,0.0,0.58,0.0,0.0,0.0,2.488
54,56,0.04781235904375281,0.19756427604871446,0.18538565629228687,0.5692377086152458,4.433999999999999,0.21,0.93,0.842,0.034,0.0,0.216,0.272,0.026,0.0,0.212,0.0,0.0,0.12,2.404,0.0,0.0,0.308,0.0,0.0,0.0,0.0
55,57,0.1,0.00857142857142857,0.20285714285714285,0.6885714285714285,5.6,0.38,2.13,0.048,0.0,0.0,0.296,0.576,0.0,0.0,0.052,0.0,0.0,0.912,2.944,0.0,0.0,0.264,0.508,0.0,0.0,0.0
56,58,0.6552147239263804,0.2238036809815951,0.11116564417177914,0.0098159509202454,8.15,2.73,22.25,1.824,0.0,0.0,0.156,0.4,0.01,0.0,0.0,0.0,5.34,0.08,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0
57,59,0.0,0.010261780104712041,0.1817801047120419,0.807958115183246,9.55,0.0,0.0,0.016,0.0,0.0,0.612,0.656,0.0,0.0,0.0,0.0,0.0,4.136,3.58,0.082,0.0,0.468,0.0,0.0,0.0,0.0
58,60,0.3626423690205012,0.18451025056947612,0.15034168564920275,0.30250569476082,8.78,1.51,13.26,1.6,0.02,0.028,0.22,1.072,0.0,0.0,0.0,0.0,3.184,0.96,1.696,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,61,0.14100077579519008,0.03549262994569434,0.063033359193173,0.7604732350659426,10.312,0.48,4.95,0.0,0.13,0.0,0.278,0.232,0.0,0.0,0.812,0.236,0.198,6.124,1.156,0.0,0.0,0.14,0.444,0.0,0.0,0.562
60,62,0.1864900662251656,0.0376158940397351,0.5525827814569537,0.2233112582781457,7.549999999999998,0.92,6.95,0.0,0.0,0.036,3.408,0.18,0.084,0.0,0.0,0.284,1.408,0.294,1.392,0.0,0.0,0.464,0.0,0.0,0.0,0.0
61,63,0.31014249790444254,0.04735959765297569,0.44677284157585917,0.19572506286672253,9.543999999999999,1.45,13.84,0.0,0.0,0.058,0.472,3.228,0.006,0.0,0.0,0.452,2.96,0.864,1.004,0.0,0.0,0.5,0.0,0.0,0.0,0.0
62,64,0.19256856384547333,0.0,0.07785314066647007,0.7295782954880566,6.782,0.65,4.41,0.0,0.0,0.0,0.0,0.188,0.1,0.724,0.0,0.0,1.306,3.748,0.476,0.0,0.0,0.24,0.0,0.0,0.0,0.0
63,65,0.5802968960863698,0.0,0.1767881241565452,0.242914979757085,1.482,2.13,3.16,0.0,0.0,0.0,0.0,0.148,0.026,0.0,0.0,0.0,0.86,0.116,0.244,0.0,0.0,0.088,0.0,0.0,0.0,0.0
64,66,0.3834808259587021,0.3796633697726879,0.06177338191913934,0.17508242234947077,11.526000000000002,1.72,19.82,0.0,0.0,0.052,0.136,0.12,0.0,0.0,0.112,4.376,2.056,1.572,0.22,0.0,0.0,0.404,2.252,0.0,0.0,0.226
65,67,0.2806499261447563,0.42836041358936483,0.11669128508124078,0.17429837518463812,2.708,1.35,3.66,0.0,0.0,0.0,0.068,0.056,0.0,0.0,0.0,1.16,0.76,0.0,0.472,0.0,0.0,0.192,0.0,0.0,0.0,0.0
66,68,0.911102007374027,0.011675542810323637,0.03625563293732077,0.04096681687832855,9.764000000000001,2.98,29.1,0.114,0.0,0.0,0.098,0.056,0.0,0.0,0.0,0.0,8.896,0.188,0.212,0.0,0.0,0.2,0.0,0.0,0.0,0.0
