,ID,Organics_wt_%,Paper_and_cardboard_wt_%,Plastics_wt_%,Non_combust_wt_%,Total_weight_(kg),energy_kWh_per_kg,total_energy_kWh,eps,plastic_bags,pet_bottles,pp,flexibles_film,other_plastic,feminine_hygiene,cardboard,drinkbags,nappies,hdpe_bottles,paper,aluminium_cans,jars,other_organics,food,lpb,aluminium_recyclable,steel_cans,other_sanitary_waste,textiles,other,bottles_wine_and_spirits,bottles_cds,other_metal,other_glass
83,84,0.9082099387549422,0.00364369330955888,0.03790991549732537,0.0502364524381735,12.899,2.95,38.05,0.003,0.13,0.131,0.0,0.013,0.099,0.0,0.0,0.0,1.113,0.113,0.009,0.0,0.612,0.0,10.602,0.038,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,85,0.5272588638963019,0.06252382767823103,0.29711526242216296,0.1131020460033041,7.869000000000001,2.24,17.63,0.24,0.733,0.88,0.0,0.402,0.07,0.0,0.096,0.006500000000000001,0.0,0.0,0.287,0.0,0.174,0.0,4.075,0.109,0.0,0.202,0.074,0.0,0.0,0.0,0.514,0.0,0.0
85,86,0.7960386110066441,0.05214993105177385,0.09715431866616522,0.05465713927541683,7.977000000000001,2.85,22.73,0.094,0.315,0.129,0.0,0.15,0.0,0.0,0.171,0.004,0.0,0.079,0.04,0.0,0.0,0.0,3.07,0.205,0.166,0.24,3.28,0.0,0.008,0.0,0.0,0.022,0.0
86,87,0.7246133154001345,0.044889038332212514,0.1735036987222596,0.05699394754539341,5.9479999999999995,2.75,16.36,0.011,0.319,0.301,0.02,0.239,0.018,0.0,0.0,0.0,0.0,0.124,0.227,0.017,0.0,0.0,4.31,0.0,0.078,0.0,0.0,0.04,0.0,0.0,0.244,0.0,0.0
87,88,0.2807641048422923,0.5004442470013328,0.12594402487783207,0.09284762327854289,4.502000000000001,1.42,6.39,0.062,0.18,0.118,0.007,0.047,0.053,0.0,0.0,0.0,0.0,0.1,0.077,0.0,0.224,0.0,0.597,0.192,0.139,0.055,0.667,1.984,0.0,0.0,0.0,0.0,0.0
88,89,0.7876452189454871,0.061997319034852554,0.0690348525469169,0.08132260947274352,8.952000000000002,2.78,24.89,0.013,0.07,0.11,0.0,0.243,0.011,0.205,0.452,0.0,0.428,0.171,0.054,0.0,0.149,3.935,1.447,0.049,0.007,0.0,1.036,0.0,0.0,0.0,0.572,0.0,0.0
89,90,0.6229368241320432,0.09362549800796813,0.2322140011383039,0.05122367672168469,3.5140000000000002,2.58,9.07,0.025,0.376,0.15,0.003,0.123,0.029,0.0,0.08,0.055,0.0,0.0,0.242,0.0,0.0,0.0,2.189,0.0,0.055,0.092,0.0,0.007,0.033,0.0,0.0,0.0,0.0
90,91,0.5216434336023478,0.10785033015407187,0.36243580337490827,0.008070432868672045,1.363,2.39,3.26,0.03,0.142,0.251,0.044,0.027,0.0,0.208,0.0,0.0,0.313,0.0,0.025,0.0,0.0,0.0,0.19,0.0,0.011,0.0,0.0,0.122,0.0,0.0,0.0,0.0,0.0
91,92,0.6171707549416527,0.016789711836151466,0.02095737080257204,0.3450821624196237,8.398,2.0,16.8,0.0,0.08,0.0,0.0,0.01,0.086,0.379,0.044,0.0,0.0,0.0,0.083,0.0,0.0,0.0,4.804,0.0,0.0,0.118,0.0,0.014,2.78,0.0,0.0,0.0,0.0
92,93,0.28283485045513657,0.07997399219765931,0.5299089726918076,0.10728218465539664,1.5379999999999998,1.42,2.18,0.084,0.162,0.435,0.0,0.006,0.128,0.0,0.017,0.0,0.0,0.0,0.106,0.0,0.0,0.136,0.299,0.0,0.165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
