,ID,Organics_wt_%,Paper_and_cardboard_wt_%,Plastics_wt_%,Non_combust_wt_%,Total_weight (kg),energy_kWh_per_kg,total_energy_kWh,Date,Commercial,Location,commercial,aluminium cans,steel cans,metal other,lpb,paper,pet bottles,plastic bags,flexibles/film,other plastic,glass jars,other organics,textles,ceramics,other,aluminium recyclable,cardboard,nappies,food,hdpe bottles,pp,feminine hygiene,electrical items and peripherals (incl tvs)
25,54,0.42948547054118896,0.1783524393495068,0.1628898960277259,0.22927219408157823,7.501999999999999,1.8,13.5,2020-11-07,0.0,Port Vila,0.0,0.268,0.898,0.026,0.0,0.898,0.526,0.088,0.292,0.316,0.528,0.0,0.02,0.0,0.0,0.0,0.42,0.0,3.222,0.0,0.0,0.0,0.0
26,55,0.2723953945520921,0.36857624262847516,0.11541701769165964,0.2436113451277731,14.244,1.26,17.95,2020-11-07,0.0,Port Vila,0.0,0.076,1.24,0.724,0.204,0.744,0.174,0.016,0.676,0.55,0.926,0.0,3.924,0.0,0.5,0.004,0.378,0.0,3.88,0.02,0.208,0.0,0.0
27,56,0.9260572515783101,0.01470206693764594,0.023696272593617576,0.035544408890426364,23.125999999999998,3.0,69.38,2020-11-07,0.0,Port Vila,0.0,0.0,0.68,0.0,0.19,0.0,0.218,0.0,0.168,0.162,0.0,18.156,0.0,0.0,0.142,0.0,0.15,3.26,0.0,0.0,0.0,0.0,0.0
28,57,0.4715991843868337,0.2997378386251093,0.20506845324788814,0.023594523740168953,6.866,2.21,15.17,2020-11-07,0.0,Port Vila,0.0,0.07,0.084,0.008,0.026,0.192,0.058,0.316,0.844,0.17,0.0,0.0,0.0,0.0,0.0,0.0,1.84,0.0,3.086,0.02,0.0,0.152,0.0
29,58,0.7119082840236686,0.07618343195266272,0.13295118343195267,0.07895710059171597,10.815999999999999,2.68,28.99,2020-11-07,0.0,Port Vila,0.0,0.0,0.854,0.0,0.0,0.28,0.204,0.196,0.228,0.662,0.0,4.884,0.184,0.0,0.0,0.0,0.36,2.816,0.0,0.148,0.0,0.0,0.0
30,59,0.9932271905251587,0.0,0.005318960320556008,0.001453849154285309,56.402,3.11,175.41,2020-11-07,0.0,Port Vila,0.0,0.0,0.082,0.0,0.0,0.0,0.146,0.0,0.074,0.0,0.0,56.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0
31,60,0.008875739644970413,0.27120315581854043,0.21942800788954636,0.5004930966469427,4.056,0.04,0.16,2020-11-07,0.0,Port Vila,0.0,0.0,1.168,0.018,0.092,0.332,0.234,0.144,0.372,0.128,0.0,0.0,0.208,0.0,0.0,0.006,0.468,0.0,0.0,0.0,0.012,0.036,0.838
32,61,0.9671810900566518,0.0028651429315621544,0.02930259816370385,0.0006511688480823078,30.714,3.11,95.52,2020-11-07,0.0,Port Vila,0.0,0.02,0.0,0.0,0.068,0.02,0.044,0.092,0.324,0.44,0.0,14.35,0.0,0.0,0.0,0.0,0.0,0.314,15.042,0.0,0.0,0.0,0.0
33,62,0.5569347898047003,0.026150281363786818,0.141012909632572,0.2759020191989407,12.083999999999998,2.03,24.53,2020-11-07,0.0,Port Vila,0.0,0.0,1.744,0.34,0.058,0.04,0.202,0.264,0.704,0.242,1.21,0.0,0.036,0.0,0.0,0.04,0.182,1.92,4.81,0.262,0.03,0.0,0.0
34,63,0.6020151133501259,0.23068849706129302,0.03190596137699413,0.1353904282115869,9.528,2.37,22.58,2020-11-07,0.0,Port Vila,0.0,0.06,0.866,0.0,0.09,0.128,0.07,0.0,0.082,0.152,0.0,0.0,1.938,0.0,0.364,0.0,0.042,0.0,5.736,0.0,0.0,0.0,0.0
35,64,0.13343217197924387,0.13738571781566591,0.4714603409933283,0.25772176921176176,8.094000000000001,0.67,5.42,2020-11-07,0.0,Port Vila,0.0,0.0,0.85,0.0,0.024,0.37,2.892,0.0,0.344,0.46,1.236,0.0,0.0,0.0,0.0,0.0,0.718,0.0,1.08,0.0,0.12,0.0,0.0
36,65,0.8000321362577327,0.0779304250020085,0.06081786775929943,0.061219570980959266,24.894,2.84,70.7,2020-11-07,0.0,Port Vila,0.0,0.118,1.406,0.0,0.08,0.256,0.488,0.04,0.724,0.242,0.0,0.0,0.996,0.0,0.0,0.0,0.608,11.9,7.992,0.0,0.02,0.024,0.0
37,66,0.5676963522839303,0.14114360828130135,0.1717055537298718,0.11945448570489647,12.172000000000002,2.32,28.24,2020-11-08,0.0,Port Vila,0.0,0.162,0.872,0.0,0.226,0.662,0.946,0.0,0.256,0.852,0.37,0.816,0.124,0.0,0.05,0.0,0.706,0.0,6.094,0.028,0.008,0.0,0.0
38,67,0.6890190336749634,0.18262567105905322,0.06120058565153734,0.06715470961444608,20.490000000000002,2.67,54.71,2020-11-08,0.0,Port Vila,0.0,0.168,0.524,0.0,0.1,1.772,0.088,0.0,0.396,0.734,0.0,1.838,0.774,0.0,0.684,0.0,1.096,0.0,12.28,0.0,0.036,0.0,0.0
39,68,0.5622479838709677,0.18119959677419353,0.1950604838709677,0.06149193548387096,7.936,2.41,19.13,2020-11-08,0.0,Port Vila,0.0,0.0,0.466,0.0,0.252,0.626,0.13,0.0,0.508,0.802,0.0,0.0,0.044,0.0,0.0,0.022,0.516,0.0,4.376,0.0,0.108,0.086,0.0
40,69,0.8683421720083008,0.0909614941203597,0.015909614941203597,0.02478671893013604,17.348,3.0,52.04,2020-11-08,0.0,Port Vila,0.0,0.0,0.43,0.0,0.0,0.066,0.0,0.02,0.182,0.074,0.0,0.0,0.204,0.0,0.0,0.0,1.308,0.304,14.76,0.0,0.0,0.0,0.0
41,70,0.6841924987155333,0.06593594793629046,0.21664668607638296,0.033224867271793114,11.677999999999999,2.74,32.0,2020-11-08,0.0,Port Vila,0.0,0.018,0.37,0.0,0.382,0.182,0.996,0.304,0.448,0.768,0.0,0.146,0.206,0.0,0.0,0.0,0.0,4.396,3.448,0.0,0.014,0.0,0.0
42,71,0.7326298701298701,0.19139610389610387,0.07597402597402597,0.0,12.32,2.9,35.73,2020-11-08,0.0,Port Vila,0.0,0.0,0.0,0.0,0.356,0.482,0.11,0.0,0.436,0.29,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0,9.01,0.1,0.0,0.016,0.0
43,72,0.7566769957208205,0.08100929614873838,0.15655894938763465,0.005754758742806552,13.553999999999998,2.92,39.58,2020-11-08,0.0,Port Vila,0.0,0.0,0.0,0.0,0.0,0.356,0.13,0.694,0.344,0.106,0.0,0.0,0.742,0.0,0.0,0.078,0.0,5.082,5.166,0.848,0.0,0.008,0.0
44,73,0.8153434433541482,0.05031222123104371,0.11248884924174844,0.021855486173059768,22.42,2.96,66.36,2020-11-08,0.0,Port Vila,0.0,0.0,0.49,0.0,0.136,0.164,1.552,0.0,0.852,0.074,0.0,0.0,0.0,0.0,0.0,0.0,0.828,11.264,7.016,0.044,0.0,0.0,0.0
45,74,0.0,0.14017094017094017,0.26495726495726496,0.5948717948717949,1.1700000000000002,0.0,0.0,2020-11-08,0.0,Port Vila,0.0,0.008,0.384,0.0,0.0,0.0,0.01,0.034,0.054,0.204,0.0,0.0,0.164,0.0,0.304,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0
46,75,0.24251142325266545,0.3010661702487731,0.2558808597055339,0.2005415467930276,11.818,1.18,13.95,2020-11-08,0.0,Port Vila,0.0,0.546,0.656,0.0,1.046,1.304,0.76,0.0,1.428,0.836,0.0,0.0,0.04,0.732,0.0,0.436,1.168,0.0,1.874,0.0,0.0,0.992,0.0
47,76,0.9058266224538134,0.0452865940312648,0.02245381335859782,0.02643297015632402,21.11,3.02,63.75,2020-11-08,0.0,Port Vila,0.0,0.0,0.0,0.0,0.176,0.178,0.0,0.224,0.124,0.126,0.558,18.6,0.0,0.0,0.0,0.0,0.602,0.0,0.522,0.0,0.0,0.0,0.0
48,77,0.8033782000527844,0.08181578252837161,0.10662443916600686,0.00818157825283716,15.156,2.98,45.16,2020-11-08,0.0,Port Vila,0.0,0.032,0.092,0.0,0.17,0.55,0.712,0.22,0.592,0.092,0.0,0.0,0.0,0.0,0.0,0.0,0.52,4.684,7.492,0.0,0.0,0.0,0.0
49,78,0.8846960167714885,0.023992546005124623,0.059282552993244815,0.03202888423014209,17.172,2.99,51.34,2020-11-08,0.0,Port Vila,0.0,0.092,0.126,0.0,0.0,0.322,0.6,0.0,0.22,0.06,0.0,4.568,0.0,0.0,0.332,0.0,0.09,0.384,10.24,0.078,0.06,0.0,0.0
50,79,0.0,0.05578635014836794,0.3347181008902077,0.6094955489614243,1.685,0.0,0.0,2020-11-09,0.0,Shefa Rural,0.0,0.0,0.489,0.0,0.0,0.044,0.33,0.031,0.116,0.033,0.414,0.0,0.0,0.0,0.124,0.0,0.05,0.0,0.0,0.0,0.054,0.0,0.0
51,80,0.5878765703134529,0.11269667032564946,0.17075253079643862,0.12867422856445906,8.199,2.35,19.27,2020-11-09,0.0,Shefa Rural,0.0,0.072,0.248,0.632,0.122,0.076,0.0,0.0,0.217,1.183,0.0,0.0,0.0,0.0,0.103,0.0,0.726,4.82,0.0,0.0,0.0,0.0,0.0
52,81,0.8542009884678746,0.03850906095551893,0.05168863261943985,0.05560131795716638,4.856,2.9,14.08,2020-11-09,0.0,Shefa Rural,0.0,0.0,0.197,0.073,0.042,0.037,0.042,0.0,0.201,0.0,0.0,0.654,0.0,0.0,0.0,0.0,0.108,3.494,0.0,0.0,0.008,0.0,0.0
53,82,0.0,0.4758128469468675,0.08723235527359237,0.43695479777953994,1.2610000000000001,0.0,0.0,2020-11-09,0.0,Shefa Rural,0.0,0.0,0.551,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.533,0.0,0.0,0.0,0.067,0.0,0.0,0.0,0.01,0.0,0.0
54,83,0.7128993125758188,0.08855640921957138,0.13040841083704005,0.06813586736756976,4.946,2.71,13.4,2020-11-09,0.0,Shefa Rural,0.0,0.0,0.337,0.0,0.038,0.211,0.276,0.0,0.306,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.189,3.526,0.0,0.0,0.015,0.0,0.0
55,84,0.35759442373156103,0.2781650186415951,0.12579024153023183,0.23845031609661213,6.169000000000001,1.57,9.69,2020-11-09,0.0,Shefa Rural,0.0,0.0,1.247,0.0,0.072,0.204,0.06,0.0,0.0,0.716,0.0,2.206,0.107,0.0,0.0,0.224,1.333,0.0,0.0,0.0,0.0,0.0,0.0
56,85,0.7058823529411765,0.0,0.1645979492714517,0.12951969778737182,1.8530000000000002,2.56,4.74,2020-11-09,0.0,Shefa Rural,0.0,0.0,0.24,0.0,0.0,0.0,0.189,0.0,0.0,0.116,0.0,1.308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
